Wavenumber (cm⁻¹),Bond,Functional Group
708.7,=C–H bend,Aromatic Out-of-Plane / Alkene
1292.6,C–O stretch,Alcohol / Ether / Ester
1425.1,C=C ring stretch,Aromatic Ring
933.9,=C–H bend,Aromatic Out-of-Plane / Alkene
1687.9,C=O stretch,"Carbonyl (Ester, Acid, Amide, Ketone)"
807.1,=C–H bend,Aromatic Out-of-Plane / Alkene
552.0,—,Fingerprint region / Unassigned
2836.3,—,Fingerprint region / Unassigned
1071.3,C–O stretch,Alcohol / Ether / Ester
1025.9,C–O stretch,Alcohol / Ether / Ester
1127.2,C–O stretch,Alcohol / Ether / Ester
1183.1,C–O stretch,Alcohol / Ether / Ester
665.8,=C–H bend,Aromatic Out-of-Plane / Alkene
1496.0,C=C ring stretch,Aromatic Ring
1453.6,C=C ring stretch,Aromatic Ring
998.5,=C–H bend,Aromatic Out-of-Plane / Alkene
1915.5,—,Fingerprint region / Unassigned
1581.8,C=C ring stretch,Aromatic Ring
1100.2,C–O stretch,Alcohol / Ether / Ester
454.6,—,Fingerprint region / Unassigned
1602.1,C=C stretch,Alkene / Aromatic
